,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
1588,영국,London School of Economics and Political Science,"We published our Air Quality Position Statement, which demonstrates how LSE will approach the challenge of poor air quality in London amidst growing public concern on this issue. In order to support this, we also commissioned an independent study of air quality on campus.",우리는 이 문제에 대한 대중의 관심이 증가하는 가운데 LSE가 런던의 열악한 공기 질이라는 도전에 어떻게 접근할 것인지를 보여주는 대기질 입장문을 발표했습니다. 이를 지원하기 위해 캠퍼스 내 대기 질에 대한 독립적인 연구도 의뢰했습니다.,우리는 대기 질 입장 성명서를 발표했습니다.이 성명서는 LSE 가이 문제에 대한 대중의 우려가 커지면서 런던에서 열악한 대기 질의 도전에 어떻게 접근 할 것인지를 보여줍니다.이를 지원하기 위해 캠퍼스에서의 대기 질에 대한 독립적 인 연구도 의뢰했습니다., 지원하기 위해 캠퍼스에서의 대기 질에 대한 독립적 인 연구도 의뢰했습니다.,11,3
1624,영국,London School of Economics and Political Science,"We launched our Air Quality Position Statement, which demonstrates how LSE will approach the challenge of poor air quality in London amidst growing public concern on this issue. In order to support this, we also commissioned an independent study of air quality on campus.",우리는 이 문제에 대한 대중의 관심이 증가하는 가운데 LSE가 런던의 열악한 대기 질 문제에 어떻게 접근할 것인지 보여주는 대기 질 입장 성명서를 발표했습니다. 이를 지원하기 위해 우리는 또한 캠퍼스의 대기 질에 대한 독립적인 연구를 의뢰했습니다.,우리는 대기 질 포지션 선언문을 시작했습니다.이 성명서는 LSE 가이 문제에 대한 대중의 우려가 커지면서 런던에서 열악한 대기 질의 도전에 어떻게 접근 할 것인지를 보여줍니다.이를 지원하기 위해 캠퍼스에서의 대기 질에 대한 독립적 인 연구도 의뢰했습니다., 지원하기 위해 캠퍼스에서의 대기 질에 대한 독립적 인 연구도 의뢰했습니다.,11,3
1843,미국,UC Davis University,"Teaching
According to the responses provided by faculty to the SDG surveys, 38 faculty members incorporate SDG 8 into their teaching curriculum. These faculty are primarily based in the departments of Human Ecology, Plant Sciences and Design.","티칭
SDG 설문 조사에 대한 교수진의 응답에 따르면 38명의 교수진이 SDG 8을 교육 커리큘럼에 통합했습니다. 이 교수진은 주로 인간생태학, 식물과학, 디자인학과에 기반을 두고 있다.","교수진이 SDG 설문 조사에 제공 한 응답에 따라 38 명의 교수진이 SDG 8을 교수 커리큘럼에 통합했습니다.이 교수진은 주로 인간 생태학, 식물 과학 및 디자인 부서에 기반을두고 있습니다."," 교수진은 주로 인간 생태학, 식물 과학 및 디자인 부서에 기반을두고 있습니다.",8,3
1558,영국,London School of Economics and Political Science,Collaborate with academic and students working on air quality projects.,대기질 프로젝트에 참여하는 학계 및 학생들과 협력합니다.,대기 질 프로젝트 작업을하는 학업 및 학생들과 협력합니다.,대기 질 프로젝트 작업을하는 학업 및 학생들과 협력합니다.,11,3
1585,영국,London School of Economics and Political Science,Monitor local indoor and outdoor air quality on campus.,캠퍼스에서 지역 실내 및 실외 공기질을 모니터링합니다.,캠퍼스에서 지역 실내 및 실외 공기 질을 모니터링하십시오.,캠퍼스에서 지역 실내 및 실외 공기 질을 모니터링하십시오.,11,3
1761,덴마크,Aalborg University,"ENERGY EDUCATION
At AAU, several study programmes focus on clean energy,
mainly offered by the Department of Energy Technology,
focusing on energy production, energy transfer, energy distribution
and sustainable energy. Examples of AAU energy
study programmes are:","에너지 교육
AAU에서, 몇몇 연구 프로그램들은 청정에너지에 초점을 맞추고 있다.
주로 에너지 기술부에서 제공하는 것,
에너지 생산, 에너지 전달, 에너지 분배에 초점을 맞춥니다.
그리고 지속 가능한 에너지. AAU 에너지의 예
학습 프로그램은 다음과 같습니다.","에너지 교육 AAU의 에너지 교육, 여러 연구 프로그램은 에너지 기술부가 주로 제공하여 에너지 생산, 에너지 전달, 에너지 분포 및 지속 가능한 에너지에 중점을 둔 청정 에너지에 중점을 둡니다.AAU 에너지 연구 프로그램의 예는 다음과 같습니다.", 에너지 연구 프로그램의 예는 다음과 같습니다.,7,3
173,스위스,ETHzurich,"Paradigm shift in the
new procurement law","
""새로운 조달법의 패러다임 전환""",새로운 조달법의 패러다임 전환,새로운 조달법의 패러다임 전환,8,3
296,캐나다,Concordia University,"MAKE CITIES AND HUMAN
SETTLEMENTS SAFE, RESILIENT
AND SUSTAINABLE","""도시와 인간을 만든다""
안전하고 탄력적인 정착지
그리고 지속 가능""",도시와 인간 정착지를 안전하고 탄력적이며 지속 가능하게 만듭니다.,도시와 인간 정착지를 안전하고 탄력적이며 지속 가능하게 만듭니다.,11,3
1948,캐나다,Brock University,"VERTICAL FARM IN WELLAND’S INDUSTRIAL ZONE 
A new vertical farm was created in Welland’s industrial zone that uses high-tech to grow crops indoors. The new technique is said to reduce energy and improve food security due to a vertical farm stacking vegetation in layers rather than farming across a wide area. ","웰랜드 공업지대의 수직농장 
첨단 기술을 사용하여 실내에서 농작물을 재배하는 새로운 수직 농장이 웰랜드의 산업 지역에 만들어졌습니다. 이 새로운 기술은 넓은 지역에 걸쳐 농사를 짓기보다는 식물을 층층이 쌓아올린 수직농장으로 인해 에너지를 줄이고 식량안보를 향상시킨다고 한다.",Welland의 산업 구역의 수직 농장은 첨단 기술을 사용하여 실내에서 작물을 재배하는 Welland 산업 구역에 새로운 수직 농장이 만들어졌습니다.이 새로운 기술은 넓은 지역을 가로 질러 농업하기보다는 수직 농장 쌓아 놓는 식물로 인해 에너지를 줄이고 식량 안보를 향상시키는 것으로 알려져 있습니다., 새로운 기술은 넓은 지역을 가로 질러 농업하기보다는 수직 농장 쌓아 놓는 식물로 인해 에너지를 줄이고 식량 안보를 향상시키는 것으로 알려져 있습니다.,9,3
1354,영국,University of Exeter,"Innovation is essential for organisational competitiveness regionally, nationally, and globally, yet organisations struggle to realise their innovation potential. Exeter       researchers have created, refined, and successfully implemented an Innovation       Fitness Toolkit (IFT) that examines organisations ’ Innovation Management Capability (IMC) with regards to process, learning, networks, innovation culture, and strategy, across public and private sector organisations in the UK, EU and globally. Based on their research, the IFT enables organisations to develop, manage and capitalise on new products and services, facilitating firm growth (e.g., Bott Ltd experienced a £600,000 increase in annual sales turnover and invested over £100M as a result of the process), as well as improving existing efficiency and productivity in the UK South West region (e.g., more than half of the 260 firms involved in a regional        programme in Devon indicated an increase in efficiency).","혁신은 지역, 국가 및 전 세계적으로 조직의 경쟁력을 위해 필수적이지만, 조직은 혁신 잠재력을 실현하기 위해 고군분투합니다. Exeter 연구원들은 프로세스, 학습, 네트워크, 혁신 문화 및 전략과 관련된 조직의 혁신 관리 역량(IMC)을 영국, EU 및 전 세계의 공공 및 민간 부문에 걸쳐 검토하는 혁신 피트니스 툴킷(IFT)을 생성, 정제 및 성공적으로 구현했습니다. IFT는 기업들이 새로운 제품과 서비스를 개발, 관리 및 활용할 수 있도록 지원하여 기업의 성장을 촉진합니다(예: Bott Ltd는 연간 매출액이 60만 파운드 증가했으며 이 과정에서 1억 파운드 이상을 투자했으며). 또한 영국 남서부 지역의 기존 효율성과 생산성을 향상시킬 수 있습니다. 지역(예: Devon의 지역 프로그램에 참여한 260개 기업 중 절반 이상이 효율성 증가를 나타냄)","혁신은 지역, 전국 및 전 세계 조직 경쟁력에 필수적이지만 조직은 혁신 잠재력을 실현하기 위해 노력하고 있습니다.엑서 터 연구원들은 공공 및 민간 부문 조직에서 프로세스, 학습, 네트워크, 혁신 문화 및 전략과 관련하여 조직의 IMC (Innovation Innovation Management Capability)를 조사하는 혁신 피트니스 툴킷 (IFT)을 만들고 정제하며 성공적으로 구현했습니다.영국, EU 및 전 세계.IFT는 자신의 연구를 바탕으로 조직이 신제품 및 서비스를 개발, 관리 및 자본화하여 회사의 성장을 촉진 할 수있게 해줍니다 (예 : Bott Ltd는 연간 판매 회전율이 60 만 파운드 증가했으며 프로세스의 결과로 1 억 파운드 이상을 투자했습니다).영국 사우스 웨스트 지역의 기존 효율성과 생산성을 향상시킬뿐만 아니라 (예 : 데본의 지역 프로그램에 관련된 260 개 회사의 절반 이상이 효율성이 증가 함을 나타 냈습니다).","자신의 연구를 바탕으로 조직이 신제품 및 서비스를 개발, 관리 및 자본화하여 회사의 성장을 촉진 할 수있게 해줍니다 (예 : Bott Ltd는 연간 판매 회전율이 60 만 파운드 증가했으며 프로세스의 결과로 1 억 파운드 이상을 투자했습니다)",9,3
