,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
1844,인도,Ashoka University,"Divyashree A. N.

PhD Scholar, Biology
“We use a lot of consumables especially to pour
growth media for bacteria. These plates need to be
sterile. Although one-time-use plastics are most
convenient, our lab is trying to move towards glass
consumables that can be recycled and are more
environment friendly. We also use Glass
Microscope slides for routine microscopy that is
washed and recycled instead of discarding it as
bio-waste.”","디비아 3 A. n.

박사학위, 생물학
""우리는 특히 쏟아붓기 위해 많은 소모품을 사용한다.
세균의 배지 이 접시들은 있어야 한다.
무균의 1회용 플라스틱이 가장 많지만
편리하다, 우리 연구실은 유리를 향해 움직이려고 노력하고 있다.
재활용이 가능하고 더 많은 소모품
환경 친화적인 우리는 글라스도 사용한다.
일상적인 현미경 검사를 위한 현미경 슬라이드:
로 폐기하는 대신 세탁하고 재활용합니다.
""생물 폐기물""","Divyashree A. N. PhD Scholar, Biology“우리는 많은 소모품을 사용하여 특히 박테리아의 성장 매체를 부어줍니다.이 판은 멸균되어야합니다.일회성 플라스틱이 가장 편리하지만 실험실은 재활용 할 수 있고 환경 친화적 인 유리 소모품으로 이동하려고합니다.우리는 또한 생체 폐기물로 폐기하는 대신 세척하고 재활용되는 일상적인 현미경에 유리 현미경 슬라이드를 사용합니다.”", 또한 생체 폐기물로 폐기하는 대신 세척하고 재활용되는 일상적인 현미경에 유리 현미경 슬라이드를 사용합니다,12,2
288,오스트레일리아,RMIT University,"Community-led action for disaster and climate resilience
There is a common assumption that community-led processes are
slow and require a lot of resourcing. However, research suggests they
are in fact quite the opposite and lead to much more satisfied and
stronger communities. Researchers at the Centre for Urban Research
are investigating ways community-led processes before and after a
disaster can enable communities to be resilient to uncertain futures.
Work is being undertaken with the rural community of Tarnagulla in
Central Victoria to co-produce their resilience action plan to adapt
for future climate extremities and emergency management, such
as heatwaves and bushfires. The very act of bringing community
members with varying views together creates a mutually trusting
space for sharing views. By increasing the community’s awareness
of their strengths, challenges and risks, they can arrive at a shared
long-term vision and empower them to explore community-led
initiatives to achieve their vision for strengthening resilience.","""재난 및 기후 복원력을 위한 지역사회 주도 행동
커뮤니티 주도 프로세스가 다음과 같은 일반적인 가정이 있습니다.
속도가 느리고 많은 리소스가 필요합니다. 그러나, 연구에 따르면 그들은
사실은 정반대이고 훨씬 더 만족하게 만든다.
더 강한 공동체 도시연구센터 연구원
지역 사회 주도 프로세스 구축 전후의 방식을 조사하고 있습니다.
재난은 지역사회가 불확실한 미래에 탄력적으로 대처할 수 있게 해준다.
Tarnagulla의 시골 공동체와 함께 작업이 진행되고 있다.
적응을 위한 탄력적 행동 계획을 공동 제작하는 중앙 빅토리아
미래의 기후 극단과 비상 관리를 위해 다음과 같은
폭염과 산불처럼 공동체를 만드는 바로 그 행위
다양한 관점을 가진 구성원들은 서로 신뢰하는 사람을 만든다.
보기를 공유할 수 있는 공간입니다. 지역사회의 인지도를 높임으로써
그들의 강점, 도전 그리고 위험의 , 그들은 공유에 도달할 수 있습니다.
장기적인 비전과 지역사회 주도 탐색을 할 수 있는 권한을 부여합니다.
복원력 강화를 위한 비전을 달성하기 위한 이니셔티브""라고 말했다.","재난과 기후 탄력성을위한 지역 사회 주도의 행동 커뮤니티 주도 프로세스가 느리고 많은 자원 작용이 필요하다는 일반적인 가정이 있습니다. 그러나 연구에 따르면 실제로는 그들이 반대이며 훨씬 더 만족스럽고 강력한 공동체로 이어진다는 것을 시사합니다. Urban Research 센터의 연구원들은 재난 전후에 지역 사회 주도 프로세스가 지역 사회가 불확실한 미래에 회복 할 수있는 방법을 조사하고 있습니다. 빅토리아 중부의 Tarnagulla의 농촌 공동체와 함께 일이 진행되고 있으며, 열파 및 부시 파이어와 같은 미래 기후 사지 및 비상 관리에 적응하기 위해 탄력성 행동 계획을 공동 제작했습니다. 다양한 견해를 가진 커뮤니티 회원들을 모으는 행동은 견해를 공유하기위한 상호 신뢰할 수있는 공간을 만듭니다. 커뮤니티의 강점, 도전 및 위험에 대한 인식을 높이면 공유 된 장기 비전에 도달하여 커뮤니티 주도 이니셔티브를 탐색하여 탄력성 강화에 대한 비전을 달성 할 수 있습니다.","재난과 기후 탄력성을위한 지역 사회 주도의 행동 커뮤니티 주도 프로세스가 느리고 많은 자원 작용이 필요하다는 일반적인 가정이 있습니다. 그러나 연구에 따르면 실제로는 그들이 반대이며 훨씬 더 만족스럽고 강력한 공동체로 이어진다는 것을 시사합니다. Urban Research 센터의 연구원들은 재난 전후에 지역 사회 주도 프로세스가 지역 사회가 불확실한 미래에 회복 할 수있는 방법을 조사하고 있습니다. 빅토리아 중부의 Tarnagulla의 농촌 공동체와 함께 일이 진행되고 있으며, 열파 및 부시 파이어와 같은 미래 기후 사지 및 비상 관리에 적응하기 위해 탄력성 행동 계획을 공동 제작했습니다. 다양한 견해를 가진 커뮤니티 회원들을 모으는 행동은 견해를 공유하기위한 상호 신뢰할 수있는 공간을 만듭니다. 커뮤니티의 강점, 도전 및 위험에 대한 인식을 높이면 공유 된 장기 비전에 도달하여 커뮤니티 주도 이니셔티브를 탐색하여 탄력성 강화에 대한 비전을 달성 할 수 있습니다.",13,2
1660,캐나다,Carleton University,"Unsure where an item goes?
Check out the Carleton’s Waste Management Guide or the City of Ottawa’s Waste Explorer to find out how to responsibly recycle on campus.","항목이 어디로 이동하는지 확실하지 않습니까?
캠퍼스에서 책임감 있게 재활용하는 방법을 알아보려면 Carleton's Waste Management Guide 또는 City of Ottawa's Waste Explorer를 확인하십시오.",항목이 어디로 가는지 잘 모르시겠습니까?Carleton의 폐기물 관리 안내서 또는 오타와의 폐기물 탐험가를 확인하여 캠퍼스에서 책임감있게 재활용하는 방법을 알아보십시오., 폐기물 관리 안내서 또는 오타와의 폐기물 탐험가를 확인하여 캠퍼스에서 책임감있게 재활용하는 방법을 알아보십시오.,14,2
212,캐나다,York University,"ECOLOGICAL FOOTPRINT COLLABORATION
The “ecological footprint” of human consumption
is 70 per cent more today than it was in 1970, with
a large attribution of the increase coming from
our carbon footprint, or emissions. Those were
the findings of an initiative at York University
measuring how consumption of renewable
resources has changed over the last 50 years.
Research out of York’s Ecological Footprint
Initiative in the Faculty of Environmental Studies
is informing governments about the way humans
use the Earth’s resources and the planet’s capacity
to provide them. This work is empowering the
Footprint Data Foundation to inform individuals,
communities and government leaders to better
manage limited resources. Learn more here.","""생태 발자국 협업
인간 소비의 ""생태적 발자국""
오늘날 1970년보다 70퍼센트 더 많다.
에서 오는 증가의 큰 원인.
우리의 탄소 발자국, 또는 배출. 저것들은
요크 대학에서의 이니셔티브의 결과
재생 가능한 소비량 측정
자원은 지난 50년 동안 변화해 왔습니다.
요크 생태발자국 연구
환경학부의 이니셔티브
인간들의 방식에 대해 정부에게 알리고 있다.
지구의 자원과 지구의 능력을 이용하다
제공할 수 있을 거야 이 일은 우리에게 힘을 실어주고 있다.
개인에게 정보를 제공하는 풋프린트 데이터 재단
더 나은 지역사회와 정부 지도자들
한정된 자원을 운용하다 자세한 내용은 여기를 참조하십시오.""","생태 발자국 협력 공동 작업 인간 소비의“생태 학적 발자국”은 1970 년보다 오늘날보다 70 % 더 많으며, 탄소 발자국 또는 배출량으로 인한 증가의 큰 귀속이 있습니다.요크 대학교 (York University)에서 재생 가능한 자원의 소비가 지난 50 년 동안 어떻게 변했는지를 측정하는 이니셔티브의 결과였습니다.환경 학부에서 요크의 생태 풋 프린트 이니셔티브에서 연구에 따르면 정부는 인간이 지구의 자원을 사용하는 방식과 지구의 제공 능력에 대해 알리고 있습니다.이 작업은 Footprint Data Foundation을 통해 개인, 지역 사회 및 정부 리더에게 제한된 자원을 더 잘 관리하도록 알리기 위해 힘을 실어주고 있습니다.여기에서 자세히 알아보십시오.", 학부에서 요크의 생태 풋 프린트 이니셔티브에서 연구에 따르면 정부는 인간이 지구의 자원을 사용하는 방식과 지구의 제공 능력에 대해 알리고 있습니다,12,2
1518,영국,London School of Economics and Political Science,Improve recycling facilities and signage in halls to increase recycling rates.,재활용 시설을 개선하고 홀의 간판을 개선하여 재활용률을 높입니다.,재활용 시설과 홀에서의 간판을 개선하여 재활용률을 높이십시오.,재활용 시설과 홀에서의 간판을 개선하여 재활용률을 높이십시오.,12,2
1469,홍콩,University of Hong Kong,"Ongoing efforts are also in place to ensure the availability of quality drinking water on campus. Over 90 water dispensers are located across different campuses to ensure that every staff, student and visitor have convenient and free access to filtered water. The university has also partnered with a local NGO, Water For Free, to locate on-campus water stations through their app, thereby connecting the public to safe drinking water and reducing bottled water consumption.","또한 캠퍼스에 양질의 식수를 공급하기 위한 지속적인 노력이 이루어지고 있습니다. 90개 이상의 물 분배기가 여러 캠퍼스에 배치되어 모든 직원, 학생 및 방문객이 여과된 물에 편리하고 자유롭게 접근할 수 있도록 합니다. 그 대학은 또한 지역 NGO인 Water For Free와 제휴하여 그들의 앱을 통해 캠퍼스 내 물 정거장을 위치시킴으로써 대중을 안전한 식수와 연결하고 생수 소비를 줄였습니다.","캠퍼스에서 양질의 식수를 가용 할 수 있도록 지속적인 노력이 이루어지고 있습니다.90 개가 넘는 물 디스펜서가 다른 캠퍼스에 위치하여 모든 직원, 학생 및 방문객이 필터링 된 물에 편리하고 무료로 접근 할 수 있도록합니다.이 대학은 또한 현지 NGO 인 Water와 파트너 관계를 맺고 앱을 통해 캠퍼스 내 워터 스테이션을 찾아 대중을 안전한 식수에 연결하고 생수 소비를 줄였습니다."," 개가 넘는 물 디스펜서가 다른 캠퍼스에 위치하여 모든 직원, 학생 및 방문객이 필터링 된 물에 편리하고 무료로 접근 할 수 있도록합니다",6,2
1025,영국,University of Essex,"As a University, we are taking action to reduce
water consumption across our three sites,
focusing on waste avoidance and increasing
rain/grey water use.","""대학으로서, 우리는 감소하기 위한 조치를 취하고 있습니다.
3개 사이트에 걸친 물 소비량
폐기물 회피 및 증가에 집중하기
비/회수 사용.""",대학으로서 우리는 폐기물 회피에 중점을두고 비/회색 물 사용을 증가시키는 세 곳에서 물 소비를 줄이기 위해 조치를 취하고 있습니다.,대학으로서 우리는 폐기물 회피에 중점을두고 비/회색 물 사용을 증가시키는 세 곳에서 물 소비를 줄이기 위해 조치를 취하고 있습니다.,6,2
23,이탈리아,Bologna University,EXTENSIVE RECYCLING PROGRAM FOR UNIVERSITY WASTE,대학 폐기물에 대한 광범위한 재활용 프로그램,대학 폐기물을위한 광범위한 재활용 프로그램,대학 폐기물을위한 광범위한 재활용 프로그램,12,2
181,영국,University of Glasgow,"The University has a wide range of expertise
in the marine sciences and sustainability of
aquatic ecosystems across our Colleges.
Our Institute of Biodiversity, Animal Health &
Comparative Medicine has strong links with
many other research organisations within
Scotland, including Marine Scotland and the
Marine Alliance for Science and Technology for
Scotland, and further afield.","대학은 다양한 전문 지식을 가지고 있습니다._x000D_
해양과학과 지속가능성에 있어서._x000D_
우리 대학을 가로지르는 수생 생태계._x000D_
우리 생물 다양성 연구소, 동물 건강 &_x000D_
비교의학은 와 강한 연관성을 가지고 있다._x000D_
내의 다른 많은 연구 기관들_x000D_
마린 스코틀랜드를 포함한 스코틀랜드는 다음과 같다._x000D_
해양과학기술동맹_x000D_
스코틀랜드, 그리고 더 먼 들판","이 대학은 해양 과학에 대한 다양한 전문 지식과 대학 전체의 수생 생태계의 지속 가능성을 보유하고 있습니다.우리의 생물 다양성 연구소, 동물 건강 및 비교 의학은 해양 스코틀랜드와 스코틀랜드의 과학 기술을위한 해양 연합, 그리고 더 멀리 떨어진 스코틀랜드 내의 다른 많은 연구 기관과 강력한 연관성을 가지고 있습니다."," 생물 다양성 연구소, 동물 건강 및 비교 의학은 해양 스코틀랜드와 스코틀랜드의 과학 기술을위한 해양 연합, 그리고 더 멀리 떨어진 스코틀랜드 내의 다른 많은 연구 기관과 강력한 연관성을 가지고 있습니다.",14,2
1017,오스트레일리아,University of Sydney,"A student voice
“Our theme is climate change resilience, so we get to work on a project to develop a sustainable business.
The product we’re producing is called Smart Soil. The idea is to improve the fertility and the quality of the
soil and that in turn will make food production easier. It also makes water use more efficient and will
reduce the amount of nutrients added to the soil and that’s a really good option for mitigating climate
change because carbon dioxide will be captured and stored in the soil rather than in the atmosphere,
acting as greenhouse gas.” Savannah McGuirk, PhD candidate (Soil sciences and remote sensing)","학생 목소리
""우리의 주제는 기후 변화 복원력입니다. 그래서 우리는 지속 가능한 사업을 개발하기 위한 프로젝트를 진행하게 됩니다.
우리가 생산하는 제품은 스마트 소일이라고 합니다. 그 아이디어는 비옥함과 영양소의 질을 향상시키는 것이다.
토양과 그것은 차례로 음식 생산을 더 쉽게 만들 것이다. 그것은 또한 물을 더 효율적으로 사용할 수 있게 하고 그럴 것이다.
토양에 첨가되는 영양소의 양을 줄이고 그것은 기후를 완화하는 데 정말 좋은 선택이다.
이산화탄소가 대기보다 토양에 흡수되고 저장될 것이기 때문에 변화한다.
""온실가스 역할을 합니다."" Savannah McGuirk, PhD 후보(토양 과학 및 원격 감지)","학생의 목소리는“우리의 주제는 기후 변화 탄력성이므로 지속 가능한 비즈니스를 개발하기위한 프로젝트를 진행합니다.우리가 생산하는 제품을 스마트 토양이라고합니다.아이디어는 생식력과 토양의 품질을 향상시키는 것입니다. 그리고 차례로 식량 생산이 더 쉬워 질 것입니다.또한 물이 더 효율적으로 사용되며 토양에 첨가 된 영양소의 양을 줄이며 이산화탄소가 대기가 아닌 토양에 사로 잡히고 저장되어 온실 가스 역할을하기 때문에 기후 변화를 완화하기위한 정말 좋은 옵션입니다.'Savannah McGuirk, 박사 후보 (토양 과학 및 원격 감지)", 물이 더 효율적으로 사용되며 토양에 첨가 된 영양소의 양을 줄이며 이산화탄소가 대기가 아닌 토양에 사로 잡히고 저장되어 온실 가스 역할을하기 때문에 기후 변화를 완화하기위한 정말 좋은 옵션입니다,13,2
