,국가,대학교명,내용,요약,요약번역,분류,5분류
520,뉴질랜드,Auckland,"$13.5m boost for leading EV chargingresearchThe University is a global leader in Inductive Power Transfer(IPT), a technology that enables high-efficiency power transferto electric vehicles without the need to physically plug in. As anexample, Professor Grant Covic and a team from the Faculty ofEngineering have been awarded $13.5 million by the Ministry ofBusiness, Innovation and Employment to research wireless chargingtechnologies for heavy freight vehicles. The ability to charge freightvehicles using wireless technologies is significant, because it removestwo of the largest barriers to freight operators adopting electricvehicles: the time it takes to charge them, and the weight of thebattery packs. Professor Covic collaborates with other engineeringspecialists, including Professor Simon Bickerton who works on themechanical aspects, and Dr Doug Wilson who addresses paving andtransport engineering questions. Their work is also supported byVictoria University of Wellington, the Crown Research Institute GNSScience, and colleagues from the University of Auckland’s BusinessSchool. Innovative technologies such as this will be vital if NewZealand is to meet the Climate Change Commission’s targets forelectrification of the country’s vehicle fleet.",The University of NewZealand is at the forefront of research into electric vehicles., 뉴질랜드 대학은 전기 자동차 연구의 최전선에 있습니다.,7,3
711,영국,Oxford,Procure 100% renewable electricity.,We provide a wide range of services to help you meet your energy needs., 에너지 요구 사항을 충족할 수 있도록 다양한 서비스를 제공합니다.,7,3
2124,대만,Tunghai,"Library Collection 2017 2018 2019
Number of Seats 1,502 1,400 1,448
Book Collection (Book) 1,066,950 1,081,405 1,093,470
Journals 62,094 67,095 77,540
Available E-resources (exc. E-journals) 692,124 801,776 871,207
Audiovisual Materials (pcs) 53,916 52,821 52,558",Details of the library's collection can be found on its website., 도서관 소장품에 대한 자세한 사항은 홈페이지에서 확인할 수 있다.,11,3
1201,호주,Victoria,"The Mitchell Institute released a policy
report Averting an Escalating Labour
Market Crisis for Young People in
Australia: A Proposed National Job
Cadet Program supported by the
national employer association Ai
Group, arguing that Australia should
extend apprenticeship schemes into
new occupational area to provide
greater employment opportunities
for young people.",A new report has called for the introduction of a national job cadet scheme in Australia., 새로운 보고서는 호주에서 국가 직업 생도 제도의 도입을 요구했습니다.,8,3
454,영국,Manchester,FairtradeWe’ve been a certified Fairtrade universitysince 2005 and our Food On Campus shopsells lots of useful Fairtrade goods.,You can find out more about Fairtrade here., 여기에서 공정무역에 대해 자세히 알아볼 수 있습니다.,8,3
602,뉴질랜드,Auckland,"WORKER EXPLOITATIONMost countries have policies to facilitate safe and orderly migration,but more work remains to be done to protect migrants’ rights andsocioeconomic wellbeing. Funded by the Human Trafficking ResearchCoalition which comprises the Prescha Initiative, Stand against Slavery,Hagar and ECPAT (End Child Prostitution and Trafficking), AssociateProfessor Christina Stringer (Department of Management and InternationalBusiness) is conducting research on worker exploitation of migrants in NewZealand. She has identified a pressing need to address migrant exploitationwith some migrant workers found to be working 90 hours a week for asa little as five dollars per hour and being paid for 45 hours. The resultschallenged the New Zealand Government to take serious action on migrantexploitation, which is currently the subject of a Government review.",New Zealand is a major destination for migrants from around the world., 뉴질랜드는 전 세계에서 온 이민자들의 주요 목적지입니다.,8,3
964,호주,Sydney,"Publications
124
More than 28 researchers research inequalities and
solutions to those complex challenges across at least
four faculties and schools.
– The Policy Lab looks at Sydney’s housing problem
and the pressures of affordability putting people at
risk.
– Recent research found that public transport
investments offer greater returns in larger cities.
– With climate change upon us, researchers turn their
attention to heat stress and how we can respond.
– An honours student is researching financial
frameworks to support urban resilience.",The Centre for Urban Research at the University of Sydney is at the heart of Australia’s urban agenda., 시드니 대학교의 도시 연구 센터는 호주 도시 의제의 핵심입니다.,11,3
1676,캐나다,Carleton,"Limited Unnecessary Purchases
Always try to use surplus products before ordering more. Check out our upcoming surplus sales program “CUrb” program here.","If you have a surplus product that you would like to sell, please contact us.", 판매를 원하는 잉여 제품이 있으면 당사에 문의하십시오.,11,3
164,런던,UCL,Making crisis communications available for all An online citizen translation tool developed in partnership with the New Zealand Red Cross is helping people at risk in an emergency access the information they need.,New Zealand has become the first country in the world to set up a national crisis communications centre., 뉴질랜드는 국가 위기 커뮤니케이션 센터를 설립한 세계 최초의 국가가 되었습니다.,11,3
1726,덴마크,Aalborg,"ENERGY EDUCATION
At AAU, several study programmes focus on clean energy,
mainly offered by the Department of Energy Technology,
focusing on energy production, energy transfer, energy distribution
and sustainable energy. Examples of AAU energy
study programmes are:",The Department of Energy and Climate Change offers a range of energy study programmes., 에너지 및 기후 변화부는 다양한 에너지 연구 프로그램을 제공합니다.,7,3
669,이탈리아,Bologna,"a research centre for the arts (cinema, music, theatre, dance). It organises performances, workshops and exhibitions throughout the year.",The Centre for the Arts is based at the University of Bath., 예술 센터는 배스 대학교에 기반을 두고 있습니다.,11,3
1860,미국,UC Davis,"Center for Regional Change
The Center for Regional Change (CRC), which is housed within the UC Davis College of Agricultural and Environmental Sciences, develops action-oriented research through collaborative efforts to unite faculty and students to build prosperous and sustainable regions throughout California and the world. The CRC supports the Environmental Justice Research Initiative, a field study that addresses the inequitable distribution of hazards within the environment and its impact on low-income communities. Using a collaborative research approach, the CRC’s Environmental Justice Research Initiative helps inform public policy, support community self-empowerment, and improve conditions for people who are most affected by environmental harm.","University of California, Davis.", 캘리포니아 대학교 데이비스.,11,3
