,키워드,품사,textrank
0,연구,NNG,23.477192769953184
1,사회,NNG,19.7888442360855
2,학생,NNG,17.79295310497393
3,지역,NNG,13.882700074304326
4,대학,NNG,13.645504664049264
5,평화,NNG,12.700440005119667
6,제공,NNG,11.82128859886105
7,정책,NNG,10.984496142968794
8,프로그램,NNG,10.735419770207905
9,법률,NNG,10.397964335010585
10,정의,NNG,10.288418571052803
11,개발,NNG,10.231543927069715
12,폭력,NNG,10.074586547037542
13,지원,NNG,10.022090024133584
14,프로젝트,NNG,9.730866319160624
15,교육,NNG,9.692703251567774
16,법,NNG,9.322299471116198
17,문제,NNG,9.057015658119528
18,국가,NNG,8.654914947638812
19,가능,NNG,8.400554373971485
20,포함,NNG,8.394630680458546
21,센터,NNG,7.987069730240832
22,국제,NNG,7.91951188546932
23,관련,NNG,7.739721956341384
24,사람,NNG,7.643854798356755
25,기관,NNG,7.581148905425028
26,목표,NNG,7.303377066924412
27,세계,NNG,7.252466469558088
28,정부,NNG,6.989840344166225
29,참여,NNG,6.8427142673521955
