,국가,대학교명,번역,분류,번역_전처리,5분류,요약
37,한국,Kangwon,시험기간 학생들의 건강을 위한 저렴한 아침식사 제공,2,시험기간 학생들의 건강을 위한 저렴한 아침식사 제공,1,시험기간 학생들의 건강을 위한 저렴한 아침식사 제공
76,한국,Kangwon,청렴한 근무환경 조성을 위한 공익신고자 보호제도 활성화,5,청렴한 근무환경 조성을 위한 공익신고자 보호제도 활성화,1,청렴한 근무환경 조성을 위한 공익신고자 보호제도 활성화
103,한국,Kyungpook,"경북대학교는 스마트 농업 연구를 육성하기 위해 경북대학교 스마트 농업 혁신 센터를 설립했습니다. 센터는 기아 제로라는 지속 가능한 개발 목표를 위해 일하기 위해 비즈니스 거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다. 이노베이션센터, 대구테크노파크 바이오헬스 MOU 체결
기업 간 협력과 협업을 촉진하는 융합센터
스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다
스마트팜 관련 핵심 원천기술 및 지원
산업화를 통한 기술의 상용화,
학술, 관련 및 정부 네트워킹. 센터도 진출
강력한 비즈니스 계약
두 개의 핵심 조직과 함께
인공지능 연구
연구소와 경상
국립대학교 스마트
농장 연구 센터,
사업을 강화하다
간의 협력
스마트 농업의 다양한 단계.
스마트 R&D 단계부터
확보 단계까지의 농장
원천기술, 이
촉진을 목적으로 하는 협정
기술의 활성화
유통 및 상업화
스마트팜 산업.또 하나의 중요한 합의
센터가 맡았던 사업
국민식품과의 협약
산업을 연결하는 클러스터 지원
식품산업을 발전시킨다. 을 통해
이번 협약으로 두 기관은
인재육성을 위해 함께 노력하겠습니다.
식품 산업의 자원과
클러스터 기술 개발
임차인의 능력을 활용하여
그리고 가능한 한 많은 인프라.",2,"경북대학교는 스마트농업연구를 육성하기 위해 경북대학교 스마트농업혁신센터를 설립했습니다. 센터는 기아제로라는 지속가능한 개발목표를 위해 일하기 위해 비즈니스거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다.이노베이션 센터, 대구테크노파크 바이오헬스 MOU 체결기업 간 협력과 협업을 촉진하는 융합센터 스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다스마트팜 관련 핵심 원천기술 및 지원산업화를 통한 기술의 상용화, 학술, 관련 및 정부 네트워킹. 센터도 진출 강력한 비즈니스 계약 두 개의 핵심 조직과 함께 인공지능 연구연구소와 경상국립대학교 스마트농장연구센터, 사업을 강화하다간의 협력 스마트 농업의 다양한 단계. 스마트 RD 단계부터 확보 단계까지의 농장 원천기술, 이 촉진을 목적으로 하는 협정 기술의 활성화 유통 및 상업화 스마트팜 산업. 또 하나의 중요한 합의센터가 맡았던 사업 국민식품과의 협약산업을 연결하는 클러스터 지원식품 산업을 발전시킨다.을 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.",1, 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.
89,한국,Kyungpook,"경북대학교는 스마트 농업 연구를 육성하기 위해 경북대학교 스마트 농업 혁신 센터를 설립했습니다. 센터는 기아 제로라는 지속 가능한 개발 목표를 위해 일하기 위해 비즈니스 거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다. 이노베이션센터, 대구테크노파크 바이오헬스 MOU 체결
기업 간 협력과 협업을 촉진하는 융합센터
스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다
스마트팜 관련 핵심 원천기술 및 지원
산업화를 통한 기술의 상용화,
학술, 관련 및 정부 네트워킹. 센터도 진출
강력한 비즈니스 계약
두 개의 핵심 조직과 함께
인공지능 연구
연구소와 경상
국립대학교 스마트
농장 연구 센터,
사업을 강화하다
간의 협력
스마트 농업의 다양한 단계.
스마트 R&D 단계부터
확보 단계까지의 농장
원천기술, 이
촉진을 목적으로 하는 협정
기술의 활성화
유통 및 상업화
스마트팜 산업.또 하나의 중요한 합의
센터가 맡았던 사업
국민식품과의 협약
산업을 연결하는 클러스터 지원
식품산업을 발전시킨다. 을 통해
이번 협약으로 두 기관은
인재육성을 위해 함께 노력하겠습니다.
식품 산업의 자원과
클러스터 기술 개발
임차인의 능력을 활용하여
그리고 가능한 한 많은 인프라.",2,"경북대학교는 스마트농업연구를 육성하기 위해 경북대학교 스마트농업혁신센터를 설립했습니다. 센터는 기아제로라는 지속가능한 개발목표를 위해 일하기 위해 비즈니스거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다.이노베이션 센터, 대구테크노파크 바이오헬스 MOU 체결기업 간 협력과 협업을 촉진하는 융합센터 스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다스마트팜 관련 핵심 원천기술 및 지원산업화를 통한 기술의 상용화, 학술, 관련 및 정부 네트워킹. 센터도 진출 강력한 비즈니스 계약 두 개의 핵심 조직과 함께 인공지능 연구연구소와 경상국립대학교 스마트농장연구센터, 사업을 강화하다간의 협력 스마트 농업의 다양한 단계. 스마트 RD 단계부터 확보 단계까지의 농장 원천기술, 이 촉진을 목적으로 하는 협정 기술의 활성화 유통 및 상업화 스마트팜 산업. 또 하나의 중요한 합의센터가 맡았던 사업 국민식품과의 협약산업을 연결하는 클러스터 지원식품 산업을 발전시킨다.을 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.",1, 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.
39,한국,Kangwon,학생들에게 저렴한 아침 식사 제공 후원 캠페인 진행,2,학생들에게 저렴한 아침식사 제공 후원 캠페인 진행,1,학생들에게 저렴한 아침식사 제공 후원 캠페인 진행
60,한국,Kangwon,강원도 내 군 장병 대상 취‧창업 교육 기회 제공,4,강원도 내 군 장병대상 취 창업교육기회 제공,1,강원도 내 군 장병대상 취 창업교육기회 제공
16,한국,Kangwon,강원도 내 군 장병 대상 취‧창업 교육 기회 제공,1,강원도 내 군 장병대상 취 창업교육기회 제공,1,강원도 내 군 장병대상 취 창업교육기회 제공
38,한국,Kangwon,동문 인근 학생회관 개관을 통해 학내 구성원들에게 식사 제공,2,동문 인근 학생회관 개관을 통해 학내 구성원들에게 식사 제공,1,동문 인근 학생회관 개관을 통해 학내 구성원들에게 식사 제공
47,한국,Kangwon,과학적 체력관리 프로그램을 제공하여 지역주민 건강 증진,3,과학적 체력관리 프로그램을 제공하여 지역주민 건강증진,1,과학적 체력관리 프로그램을 제공하여 지역주민 건강증진
24,한국,Kangwon,법률문제 해결의 사각지대에 놓인 사회적 취약계층에게 법률서비스 제공,1,법률문제 해결 의 사각지대에 놓인 사회적 취약계층에게 법률 서비스 제공,1,법률문제 해결 의 사각지대에 놓인 사회적 취약계층에게 법률 서비스 제공
62,한국,Kangwon,"교수 학습자료, 학습콘텐츠 등에 관한 정보를 무료로 지역 주민과 학생들에게 제공",4,"교수학습 자료, 학습 콘텐츠 등에 관한 정보를 무료로 지역주민과 학생들에게 제공",1,"교수학습 자료, 학습 콘텐츠 등에 관한 정보를 무료로 지역주민과 학생들에게 제공"
92,한국,Kyungpook,보건대학원이 대구중구치매구호센터로부터 '치매예방대학'으로 선정됐다. 보건복지부와 경북대학교 보건대학원이 주관하는 대구 8개 치매구호센터 중 첫 번째,3,보건대학원이 대구 중구 치매 구호센터로부터 치매 예방대학으로 선정됐다. 보건복지부와 경북대학교 보건대학원이 주관하는 대구 8개 치매 구호센터 중 첫 번째,1,보건대학원이 대구 중구 치매 구호센터로부터 치매 예방대학으로 선정됐다. 보건복지부와 경북대학교 보건대학원이 주관하는 대구 8개 치매 구호센터 중 첫 번째
