,국가,대학교명,번역,분류,번역_전처리,5분류,요약
54,한국,Kangwon,"공간의 합리적 이용, 산림자원 활용 등을 위해 지역사회와 협력",15,"공간의 합리적 이용, 산림자원 활용 등을 위해 지역사회와 협력",2,"공간의 합리적 이용, 산림자원 활용 등을 위해 지역사회와 협력"
68,한국,Kyungpook,PET를 분해하는 화합물인 PETase의 3차원 구조를 규명했다. (합성 플라스틱). 연구팀은 기존에 알려진 효소보다 PET 분해능이 우수한 효소의 구조를 규명했다. 그들은 또한 이러한 효소의 분해 활성 이면의 메커니즘을 파악하는 데 성공하여 PET 분해 활성이 증가된 돌연변이 효소를 개발했습니다. 그들의 연구 결과는 국제 저널인 네이처 커뮤니케이션즈(Nature Communications) 온라인 판에 게재되었습니다. 이 연구는 미생물을 이용한 친환경 플라스틱 재활용에 대한 연구를 가속화할 수 있기 때문에 지속 가능한 플라스틱 산업에 중요합니다. 본 연구는 과학기술정보통신부 기후변화대응기술개발사업의 일환으로 '생물정제공장 시스템 대사 원천기술 개발과제' 연구를 통해 수행되었습니다.,12,PET를 분해하는 화합물인 PETas e의 3차원 구조를 규명했다. 합성 플라스틱. 연구팀은 기존에 알려진 효소보다 PET 분해능이 우수한 효소의 구조를 규명했다. 그들은 또한 이러한 효소의 분해 활성이면의 메커니즘을 파악하는 데 성공하여 PET 분해 활성이 증가된 돌연변이 효소를 개발했습니다. 그들의 연구결과는 국제 저널인 네이처 커뮤니케이션즈Natu reCommu nications 온라인판에 게재되었습니다.이 연구는 미생물을 이용한 친환 경플라스틱 재활용에 대한 연구를 가속화할 수 있기 때문에 지속가능한 플라스틱 산업에 중요합니다. 본 연구는 과학기술 정보통신부 기후변화 대응 기술개발사업의 일환으로 생물정제공장 시스템 대사 원천기술 개발과제연구를 통해 수행되었습니다.,2, 연구는 미생물을 이용한 친환 경플라스틱 재활용에 대한 연구를 가속화할 수 있기 때문에 지속가능한 플라스틱 산업에 중요합니다. 본 연구는 과학기술 정보통신부 기후변화 대응 기술개발사업의 일환으로 생물정제공장 시스템 대사 원천기술 개발과제연구를 통해 수행되었습니다.
80,한국,Kyungpook,PET를 분해하는 화합물인 PETase의 3차원 구조를 규명했다. (합성 플라스틱). 연구팀은 기존에 알려진 효소보다 PET 분해능이 우수한 효소의 구조를 규명했다. 그들은 또한 이러한 효소의 분해 활성 이면의 메커니즘을 파악하는 데 성공하여 PET 분해 활성이 증가된 돌연변이 효소를 개발했습니다. 그들의 연구 결과는 국제 저널인 네이처 커뮤니케이션즈(Nature Communications) 온라인 판에 게재되었습니다. 이 연구는 미생물을 이용한 친환경 플라스틱 재활용에 대한 연구를 가속화할 수 있기 때문에 지속 가능한 플라스틱 산업에 중요합니다. 본 연구는 과학기술정보통신부 기후변화대응기술개발사업의 일환으로 '생물정제공장 시스템 대사 원천기술 개발과제' 연구를 통해 수행되었습니다.,12,PET를 분해하는 화합물인 PETas e의 3차원 구조를 규명했다. 합성 플라스틱. 연구팀은 기존에 알려진 효소보다 PET 분해능이 우수한 효소의 구조를 규명했다. 그들은 또한 이러한 효소의 분해 활성이면의 메커니즘을 파악하는 데 성공하여 PET 분해 활성이 증가된 돌연변이 효소를 개발했습니다. 그들의 연구결과는 국제 저널인 네이처 커뮤니케이션즈Natu reCommu nications 온라인판에 게재되었습니다.이 연구는 미생물을 이용한 친환 경플라스틱 재활용에 대한 연구를 가속화할 수 있기 때문에 지속가능한 플라스틱 산업에 중요합니다. 본 연구는 과학기술 정보통신부 기후변화 대응 기술개발사업의 일환으로 생물정제공장 시스템 대사 원천기술 개발과제연구를 통해 수행되었습니다.,2, 연구는 미생물을 이용한 친환 경플라스틱 재활용에 대한 연구를 가속화할 수 있기 때문에 지속가능한 플라스틱 산업에 중요합니다. 본 연구는 과학기술 정보통신부 기후변화 대응 기술개발사업의 일환으로 생물정제공장 시스템 대사 원천기술 개발과제연구를 통해 수행되었습니다.
24,한국,Kangwon,환경정보공개시스템을 통해 폐기물 발생량 등에 대한 정보 공개,12,환경정보 공개시스템을 통해 폐기물 발생량 등에 대한 정보공개,2,환경정보 공개시스템을 통해 폐기물 발생량 등에 대한 정보공개
46,한국,Kangwon,소재부품 기술개발 사업 선정에 따른 플라스틱 사용 감소를 위한 연구 진행,14,소재부품 기술개발사업 선정에 따른 플라스틱 사용 감소를 위한 연구진행,2,소재부품 기술개발사업 선정에 따른 플라스틱 사용 감소를 위한 연구진행
26,한국,Kangwon,분리수거를 실행하여 일상생활에서의 효율적이고 환경친화적인 쓰레기처리 장려,12,분리수거를 실행하여 일상생활에서의 효율적이고 환경 친화적인 쓰레기 처리 장려,2,분리수거를 실행하여 일상생활에서의 효율적이고 환경 친화적인 쓰레기 처리 장려
13,한국,Kangwon,강원도 농업용수의 효율적 관리방안 모색,6,강원도 농업용수의 효율적 관리방안 모색,2,강원도 농업용수의 효율적 관리방안 모색
45,한국,Kangwon,친환경 재료로 만든 슬라임 완구 제작을 통한 플라스틱 성분 감소 노력,14,친환경 재료로 만든 슬라임 완구 제작을 통한 플라스틱 성분 감소 노력,2,친환경 재료로 만든 슬라임 완구 제작을 통한 플라스틱 성분 감소 노력
42,한국,Kangwon,열목어 방류를 통한 지속적인 생물 다양성 회복 노력,14,열목 어방류를 통한 지속적인 생물다양성 회복 노력,2,열목 어방류를 통한 지속적인 생물다양성 회복 노력
51,한국,Kangwon, 건전하고 지속가능한 산림휴양문화 정착을 위한 업무협력 협약 체결,15,건전하고 지속가능한 산림휴양문화 정착을 위한 업무협력 협약 체결,2,건전하고 지속가능한 산림휴양문화 정착을 위한 업무협력 협약 체결
75,한국,Kyungpook,"경북대학교 글로벌플라자에서 물산업 인재육성 및 연구역량 강화를 위한 산학협력 협약을 체결했다. 양 기관은 이번 협약을 통해 산업 성장을 견인하고, 상호 기술 교류를 통한 연구 효율성을 높이고, 물 산업의 공동 발전 기반을 마련하기 위해 공동으로 노력할 예정이다. 대구의 발전
물산업이 기대된다
정부로 가속하다
도 적극적으로 지원
연구 및 개발
탄탄한 인프라를 통해
내셔널 워터라고 불리는
산업 클러스터.
클러스터는 다음과 같이 예상됩니다.
대구를 중심도시로 발전시키다
물 속의 도시
산업. 디지털 분석을 통해
대구국립기술
물산업 클러스터 입주자
회사, 그들은 물을 생산
10배 더 정확한 센서
미국 및 일본 제품보다
획기적인 혁신
로 선택하게 되었습니다.
혁신적인 물 회사
환경부.",6,"경북대학교 글로벌 플라자에서 물산업 인재육성 및 연구역량 강화를 위한 산학협력 협약을 체결했다. 양 기관은 이번 협약을 통해 산업성장을 견인하고, 상호 기술교류를 통한 연구 효율성을 높이고, 물산업의 공동발전 기반을 마련하기 위해 공동으로 노력할 예정이다.대구의 발전물 산업이 기대된다 정부로 가속하다도 적극적으로 지원연구 및 개발 탄탄한 인프라를 통해 내셔널 워터라고 불리는 산업클러스터.클러스터는 다음과 같이 예상됩니다. 대구를 중심도시로 발전시키 다물속의 도시산업.디지털 분석을 통해 대구 국립기술물 산업클러스터 입주자회사, 그들은 물을 생산 10배 더 정확한 센서 미국 및 일본 제품보다 획기적인 혁신로 선택하게 되었습니다. 혁신적인물회사 환경부.",2, 발전물 산업이 기대된다 정부로 가속하다도 적극적으로 지원연구 및 개발 탄탄한 인프라를 통해 내셔널 워터라고 불리는 산업클러스터
63,한국,Kyungpook,"경북대학교 글로벌플라자에서 물산업 인재육성 및 연구역량 강화를 위한 산학협력 협약을 체결했다. 양 기관은 이번 협약을 통해 산업 성장을 견인하고, 상호 기술 교류를 통한 연구 효율성을 높이고, 물 산업의 공동 발전 기반을 마련하기 위해 공동으로 노력할 예정이다. 대구의 발전
물산업이 기대된다
정부로 가속하다
도 적극적으로 지원
연구 및 개발
탄탄한 인프라를 통해
내셔널 워터라고 불리는
산업 클러스터.
클러스터는 다음과 같이 예상됩니다.
대구를 중심도시로 발전시키다
물 속의 도시
산업. 디지털 분석을 통해
대구국립기술
물산업 클러스터 입주자
회사, 그들은 물을 생산
10배 더 정확한 센서
미국 및 일본 제품보다
획기적인 혁신
로 선택하게 되었습니다.
혁신적인 물 회사
환경부.",6,"경북대학교 글로벌 플라자에서 물산업 인재육성 및 연구역량 강화를 위한 산학협력 협약을 체결했다. 양 기관은 이번 협약을 통해 산업성장을 견인하고, 상호 기술교류를 통한 연구 효율성을 높이고, 물산업의 공동발전 기반을 마련하기 위해 공동으로 노력할 예정이다.대구의 발전물 산업이 기대된다 정부로 가속하다도 적극적으로 지원연구 및 개발 탄탄한 인프라를 통해 내셔널 워터라고 불리는 산업클러스터.클러스터는 다음과 같이 예상됩니다. 대구를 중심도시로 발전시키 다물속의 도시산업.디지털 분석을 통해 대구 국립기술물 산업클러스터 입주자회사, 그들은 물을 생산 10배 더 정확한 센서 미국 및 일본 제품보다 획기적인 혁신로 선택하게 되었습니다. 혁신적인물회사 환경부.",2, 발전물 산업이 기대된다 정부로 가속하다도 적극적으로 지원연구 및 개발 탄탄한 인프라를 통해 내셔널 워터라고 불리는 산업클러스터
82,한국,Kyungpook,"현재 한국가스공사가 추진하고 있는 수소복합사업은 수소연구소, 수소유통센터, 충전실증사업, 교육홍보사업 등이다. 경북대학교는 이를 위해 협력방안을 마련했다. 프로젝트, 수소 에너지의 산업 기술 발전을 위해 일합니다. 관계자와 교수가 함께 참여해 수소에너지 생성, 저장, 활용, 절약 기술을 연구하고 관련 협력 주제를 정할 예정이다. 경북대학교는 이러한 강점을 바탕으로 지역 기업과 적극 협력해 지역 수소에너지 산업 발전에 기여할 것이라고 경북대학교 기획조정실장에 따르면 연구원 수를 확대하고 기술을 강화할 예정이다. 수소경제를 선도하는 국가가 되기 위해서는 필수적이며, 이러한 협력이 성사된다면 한국의 차세대 기술에 기여하게 될 것입니다.",13,"현재 한국가스공사가 추진하고 있는 수소복합사업은 수소연구소, 수소유통센터, 충전실증사업, 교육홍보사업 등이다. 경북대학교는 이를 위해 협력방안을 마련했다. 프로젝트, 수소에너지의 산업기술 발전을 위해 일합니다. 관계자와 교수가 함께 참여해 수소에너지 생성, 저장, 활용, 절약 기술을 연구하고 관련 협력주제를 정할 예정이다. 경북대학교는 이러한 강점을 바탕으로 지역 기업과 적극 협력해 지역 수소에너지산업 발전에 기여할 것이라고 경북대학교 기획 조정실장에 따르면 연구원 수를 확대하고 기술을 강화할 예정이다.수소 경제를 선도하는 국가가 되기 위해서는 필수적이며, 이러한 협력이 성사된다면 한국의 차세대 기술에 기여하게 될 것입니다.",2," 경제를 선도하는 국가가 되기 위해서는 필수적이며, 이러한 협력이 성사된다면 한국의 차세대 기술에 기여하게 될 것입니다."
70,한국,Kyungpook,"현재 한국가스공사가 추진하고 있는 수소복합사업은 수소연구소, 수소유통센터, 충전실증사업, 교육홍보사업 등이다. 경북대학교는 이를 위해 협력방안을 마련했다. 프로젝트, 수소 에너지의 산업 기술 발전을 위해 일합니다. 관계자와 교수가 함께 참여해 수소에너지 생성, 저장, 활용, 절약 기술을 연구하고 관련 협력 주제를 정할 예정이다. 경북대학교는 이러한 강점을 바탕으로 지역 기업과 적극 협력해 지역 수소에너지 산업 발전에 기여할 것이라고 경북대학교 기획조정실장에 따르면 연구원 수를 확대하고 기술을 강화할 예정이다. 수소경제를 선도하는 국가가 되기 위해서는 필수적이며, 이러한 협력이 성사된다면 한국의 차세대 기술에 기여하게 될 것입니다.",13,"현재 한국가스공사가 추진하고 있는 수소복합사업은 수소연구소, 수소유통센터, 충전실증사업, 교육홍보사업 등이다. 경북대학교는 이를 위해 협력방안을 마련했다. 프로젝트, 수소에너지의 산업기술 발전을 위해 일합니다. 관계자와 교수가 함께 참여해 수소에너지 생성, 저장, 활용, 절약 기술을 연구하고 관련 협력주제를 정할 예정이다. 경북대학교는 이러한 강점을 바탕으로 지역 기업과 적극 협력해 지역 수소에너지산업 발전에 기여할 것이라고 경북대학교 기획 조정실장에 따르면 연구원 수를 확대하고 기술을 강화할 예정이다.수소 경제를 선도하는 국가가 되기 위해서는 필수적이며, 이러한 협력이 성사된다면 한국의 차세대 기술에 기여하게 될 것입니다.",2," 경제를 선도하는 국가가 되기 위해서는 필수적이며, 이러한 협력이 성사된다면 한국의 차세대 기술에 기여하게 될 것입니다."
