,국가,대학교명,번역,분류,번역_전처리,5분류,요약
68,한국,Kangwon,건물 및 휴게공간에 금연 구역 표지판 부착,3,건물 및 휴게공간에 금연구역 표지판 부착,1,건물 및 휴게공간에 금연구역 표지판 부착
66,한국,Kangwon,"의료봉사, 결핵검사 등의 지역주민 대상 봉사활동 진행",3,"의료봉사, 결핵검사 등의 지역주민 대상 봉사활동 진행",1,"의료봉사, 결핵검사 등의 지역주민 대상 봉사활동 진행"
61,한국,Kangwon,학내 인권 및 성평등 의식 향상을 목적으로 하는 대학생 서포터즈 활동,3,학내 인권 및 성평등의식 향상을 목적으로 하는 대학생 서포터즈 활동,1,학내 인권 및 성평등의식 향상을 목적으로 하는 대학생 서포터즈 활동
56,한국,Kangwon,동문 인근 학생회관 개관을 통해 학내 구성원들에게 식사 제공,2,동문 인근 학생회관 개관을 통해 학내 구성원들에게 식사 제공,1,동문 인근 학생회관 개관을 통해 학내 구성원들에게 식사 제공
33,한국,Kangwon,대학 구성원 및 지역사회 대상 취‧창업을 위한 대학 공간 제공,1,대학 구성원 및 지역사회 대상 취창업을 위한 대학 공간 제공,1,대학 구성원 및 지역사회 대상 취창업을 위한 대학 공간 제공
67,한국,Kangwon,간접 흡연 피해 방지 및 캠퍼스 이미지 제고,3,간접흡연 피해 방지 및 캠퍼스 이미지 제고,1,간접흡연 피해 방지 및 캠퍼스 이미지 제고
96,한국,Kangwon,여성 교원의 권익 보호 및 양성평등 실현 도모를 위한 여교수회 운영,5,여성교원의 권익보호 및 양성평등 실현도모를 위한 여교수회 운영,1,여성교원의 권익보호 및 양성평등 실현도모를 위한 여교수회 운영
87,한국,Kangwon,"여성교원 대표성과 위상도, 양성평등 구현노력을 평가 받아 우수대학 선정",5,"여성교원 대표성과 위상도, 양성평등 구현 노력을 평가받아 우수 대학 선정",1,"여성교원 대표성과 위상도, 양성평등 구현 노력을 평가받아 우수 대학 선정"
57,한국,Kangwon,학생들에게 저렴한 아침 식사 제공 후원 캠페인 진행,2,학생들에게 저렴한 아침식사 제공 후원 캠페인 진행,1,학생들에게 저렴한 아침식사 제공 후원 캠페인 진행
50,한국,Kangwon,녹색제품 구매를 통한 지속적인 환경 보호와 오염 발생 최소화 노력,2,녹색제품 구매를 통한 지속적인 환경보호와 오염 발생 최소화 노력,1,녹색제품 구매를 통한 지속적인 환경보호와 오염 발생 최소화 노력
27,한국,Ajou,"아주대학교 사회봉사센터는 수원시 영통구청과 함께 저소득층 언택트 멘토링 자원봉사를 진행하며, 자원 봉사를 희망하는 학생들을 모집하고 경제적 어려움으로 교육기회가 부족한 저소득층 자녀에게 '지성 감성 쑥쑥! 언택트 학습 정서 멘토링 프로그램'을 진행하였다. 이번 봉사활동은 영통구 거주 저소득층 초, 중, 고등학생 27명을 대상으로 국어, 영어, 수학 등 학생 1인당 1과목 학습지도로 진행되었으며, 학습에 필요한 교재와 자원봉사 시간 실적이 제공되었다",4,"아주대학교 사회봉사센터는 수원시 영통구청과 함께 저소득층 언택트 멘토링 자원봉사를 진행하며, 자원봉사를 희망하는 학생들을 모집하고 경제적 어려움으로 교육기회가 부족한 저소득층 자녀에게 지성감성 쑥쑥 언택트 학습 정서 멘토링 프로그램을 진행하였다. 이번 봉사활동은 영통구 거주 저소득층 초, 중, 고등학생 27명을 대상으로 국어, 영어, 수학 등 학생 1인당 1과목 학습지도로 진행되었으며, 학습에 필요한 교재와 자원봉사 시간 실적이 제공되었다",1,"아주대학교 사회봉사센터는 수원시 영통구청과 함께 저소득층 언택트 멘토링 자원봉사를 진행하며, 자원봉사를 희망하는 학생들을 모집하고 경제적 어려움으로 교육기회가 부족한 저소득층 자녀에게 지성감성 쑥쑥 언택트 학습 정서 멘토링 프로그램을 진행하였다. 이번 봉사활동은 영통구 거주 저소득층 초, 중, 고등학생 27명을 대상으로 국어, 영어, 수학 등 학생 1인당 1과목 학습지도로 진행되었으며, 학습에 필요한 교재와 자원봉사 시간 실적이 제공되었다"
55,한국,Kangwon,시험기간 학생들의 건강을 위한 저렴한 아침식사 제공,2,시험기간 학생들의 건강을 위한 저렴한 아침식사 제공,1,시험기간 학생들의 건강을 위한 저렴한 아침식사 제공
86,한국,Kangwon,도서관 회원제에 등록한 지역주민 대상 도서관 교육자료 개방,4,도서관 회원제에 등록한 지역주민 대상 도서관 교육자료 개방,1,도서관 회원제에 등록한 지역주민 대상 도서관 교육자료 개방
43,한국,Kangwon,캠퍼스와 시내 간 통학버스 운행을 통한 이동 편의 제공,1,캠퍼스와 시내 간 통학버스 운행을 통한 이동 편의 제공,1,캠퍼스와 시내 간 통학버스 운행을 통한 이동 편의 제공
93,한국,Kangwon,여후보생 선발 시범대학으로 선정되어 지속적인 여후보생 선발 진행,5,여 후보생 선발 시범대학으로 선정되어 지속적인 여 후보생 선발 진행,1,여 후보생 선발 시범대학으로 선정되어 지속적인 여 후보생 선발 진행
73,한국,Kangwon,자료분석 및 해석 강의를 진행하는 아카데미 운영,4,자료 분석 및 해석강의를 진행하는 아카데미 운영,1,자료 분석 및 해석강의를 진행하는 아카데미 운영
54,한국,Kangwon,농가 일손 돕기 및 농업생명과학대학 학생들의 교육 현장 농가 일손 돕기 및 농업생명과학대학 학생들의 교육 현장 농가 일손 돕기 및 농업생명과학대학 학생들의 교육 현장 경험 습득,2,농가 일손돕기 및 농업생명과학대학 학생들의 교육 현장 농가 일손돕기 및 농업생명과학대학 학생들의 교육현장 농가 일손돕기 및 농업생명과학대학 학생들의 교육현장 경험 습득,1,농가 일손돕기 및 농업생명과학대학 학생들의 교육 현장 농가 일손돕기 및 농업생명과학대학 학생들의 교육현장 농가 일손돕기 및 농업생명과학대학 학생들의 교육현장 경험 습득
78,한국,Kangwon,강원도 내 군 장병 대상 취‧창업 교육 기회 제공,4,강원도 내 군 장병대상 취 창업교육기회 제공,1,강원도 내 군 장병대상 취 창업교육기회 제공
34,한국,Kangwon,강원도 내 군 장병 대상 취‧창업 교육 기회 제공,1,강원도 내 군 장병대상 취 창업교육기회 제공,1,강원도 내 군 장병대상 취 창업교육기회 제공
83,한국,Kangwon,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공",4,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공",1,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공"
99,한국,Kangwon,여직원 및 여학생이 사용가능한 휴게실을 마련하여 편의 제공,5,여직원 및 여학생이 사용 가능한 휴게실을 마련하여 편의 제공,1,여직원 및 여학생이 사용 가능한 휴게실을 마련하여 편의 제공
70,한국,Kangwon,전문 상담을 통한 학교생활 어려움 및 심리문제 해소,3,전문상담을 통한 학교생활 어려움 및 심리 문제 해소,1,전문상담을 통한 학교생활 어려움 및 심리 문제 해소
79,한국,Kangwon,지역주민을 대상으로 공개강좌 지속 운영,4,지역주민을 대상으로 공개강좌 지속운영,1,지역주민을 대상으로 공개강좌 지속운영
44,한국,Kangwon,캠퍼스와 도계 시내 간 통학을 돕기 위해 학생들에게 매월 통학권 배부,1,캠퍼스와도계시내 간 통학을 돕기 위해 학생들에게 매월 통학권 배부,1,캠퍼스와도계시내 간 통학을 돕기 위해 학생들에게 매월 통학권 배부
35,한국,Kangwon,외국인 학생의 언어소통능력 향상을 위한 한국어 학습 봉사활동 진행,1,외국인 학생의 언어 소통 능력 향상을 위한 한국어 학습 봉사활동 진행,1,외국인 학생의 언어 소통 능력 향상을 위한 한국어 학습 봉사활동 진행
58,한국,Kangwon,자살행동에 대한 이해와 자기돌봄 교육을 통한 학생들의 건강한 대학생활 지원,3,자살행동에 대한 이해와 자기 돌봄 교육을 통한 학생들의 건강한 대학생활지원,1,자살행동에 대한 이해와 자기 돌봄 교육을 통한 학생들의 건강한 대학생활지원
98,한국,Kangwon,교직원 및 학생 자녀 대상 어린이집 운영을 통한 구성원 복지 증진,5,교직원 및 학생 자녀 대상 어린이집 운영을 통한 구성원 복지증진,1,교직원 및 학생 자녀 대상 어린이집 운영을 통한 구성원 복지증진
48,한국,Kangwon,경제적 부담 완화를 위한 저소득층 학생 대상 기숙사비（관리비+식비） 지원,2,경제적 부담 완화를 위한 저소득층 학생 대상 기숙사비 관리비식비 지원,1,경제적 부담 완화를 위한 저소득층 학생 대상 기숙사비 관리비식비 지원
40,한국,Kangwon,경제적 부담 완화를 위한 저소득층 학생 대상 기숙사비（관리비+식비） 지원,1,경제적 부담 완화를 위한 저소득층 학생 대상 기숙사비 관리비식비 지원,1,경제적 부담 완화를 위한 저소득층 학생 대상 기숙사비 관리비식비 지원
38,한국,Kangwon,"저소득층 학생 대상 전공 관련 도서, 자격증 수험서 등 도서비용 지원",1,"저소득층 학생 대상 전 공 관련 도서, 자격증 수험서 등 도 서 비용 지원",1,"저소득층 학생 대상 전 공 관련 도서, 자격증 수험서 등 도 서 비용 지원"
39,한국,Kangwon,경제적 부담 완화를 위한 저소득층 학생 대상 학업장려금 지원,1,경제적 부담 완화를 위한 저소득층 학생 대상 학업장려금 지원,1,경제적 부담 완화를 위한 저소득층 학생 대상 학업장려금 지원
