,Unnamed: 0,키워드,품사,textrank
1,1,경찰,NNG,17.630742998236414
3,3,의원,NNG,12.44720300527127
4,4,의회,NNG,12.374426699759058
9,9,선거,NNG,9.596703052702152
10,10,행정,NNG,8.997063798619708
12,12,자치,NNG,8.529064767172637
13,13,시민,NNG,7.914153059022925
15,15,적극,NNG,7.533381240152192
17,17,세종,NNP,7.315825572425628
18,18,위원장,NNG,7.168481100918562
19,19,국민,NNG,7.127269292596037
20,20,후보,NNG,6.9951185361908825
24,24,지방,NNG,6.59868036999207
26,26,예산,NNG,6.2570824899778055
27,27,공약,NNG,6.220343323777764
29,29,정책,NNG,6.055647418340423
